service_id,date,exception_type
JUNE25-D03CAR-1_Weekday-MARSHA0,20250718,2
JUNE25-D03CAR-1_Weekday-MARSHS1-1011100,20250718,2
JUNE25-D03CAR-1_Weekday-MARSHS1-0100000,20250718,2
JUNE25-D03CAR-1_Weekday-MARSAM1,20250718,2
JUNE25-D07CAR-1_Weekday-FAIRHS1,20250718,2
JUNE25-D07CAR-1_Weekday-BURRMS1,20250718,2
JUNE25-D07CAR-1_Weekday-BURRMB0,20250718,2
JUNE25-D07CAR-1_Weekday-BURRMA0,20250718,2
JUNE25-D07CAR-1_Weekday-LOANHD0,20250718,2
JUNE25-D07CAR-1_Weekday-FAIRHC0,20250718,2
JUNE25-D07CAR-1_Weekday-FAIRHA0,20250718,2
JUNE25-D07CAR-1_Weekday-FAIRHB0,20250718,2
JUNE25-D07CAR-1_Weekday-HOLLHA0,20250718,2
JUNE25-D07CAR-1_Weekday-HOLLHB0,20250718,2
JUNE25-D07CAR-1_Weekday-PAULRE1,20250718,2
JUNE25-D07CAR-1_Weekday-PAULRE1-1010100,20250718,2
JUNE25-D07CAR-1_Weekday-PAULRE1-0101000,20250718,2
JUNE25-D07CAR-1_Weekday-PAULRA0,20250718,2
JUNE25-D07CAR-1_Weekday-PALIHS1,20250718,2
JUNE25-D07CAR-1_Weekday-HOLLHS1,20250718,2
JUNE25-D08CAR-1_Weekday-GRANHS1,20250718,2
JUNE25-D08CAR-1_Weekday-CHATHS1,20250718,2
JUNE25-D08CAR-1_Weekday-TAFTHA0,20250718,2
JUNE25-D08CAR-1_Weekday-KENNHS1,20250718,2
JUNE25-D08CAR-1_Weekday-ELCRHA0,20250718,2
JUNE25-D08CAR-1_Weekday-TAFTHB0,20250718,2
JUNE25-D08CAR-1_Weekday-KENNHA0,20250718,2
JUNE25-D08CAR-1_Weekday-TAFTHM1,20250718,2
JUNE25-D08CAR-1_Weekday-KENNHB0,20250718,2
JUNE25-D08CAR-1_Weekday-POLYHS1,20250718,2
JUNE25-D08CAR-1_Weekday-TAFTHS1,20250718,2
JUNE25-D08CAR-1_Weekday-POLYHD0,20250718,2
JUNE25-D08CAR-1_Weekday-POLYHT1,20250718,2
JUNE25-D08CAR-1_Weekday-CHATHB0,20250718,2
JUNE25-D08CAR-1_Weekday-WOHIAC1-1011100,20250718,2
JUNE25-D08CAR-1_Weekday-WOHIAC1-0100000,20250718,2
JUNE25-D08CAR-1_Weekday-WOHIAA0,20250718,2
JUNE25-D08CAR-1_Weekday-ELCRHS1,20250718,2
JUNE25-D08CAR-1_Weekday-CLEVHB0-0100000,20250718,2
JUNE25-D08CAR-1_Weekday-CLEVHC0,20250718,2
JUNE25-D08CAR-1_Weekday-CLEVHS1,20250718,2
JUNE25-D08CAR-1_Weekday-BIRMHS1,20250718,2
JUNE25-D08CAR-1_Weekday-MULHOA0,20250718,2
JUNE25-D09CAR-1_Weekday-WARRHS1,20250718,2
JUNE25-D09CAR-1_Weekday-WARRHA0,20250718,2
JUNE25-D13CAR-1_Weekday-LOANHS1,20250718,2
JUNE25-D13CAR-1_Weekday-LOANHB0,20250718,2
JUNE25-D13CAR-1_Weekday-LOANHA0,20250718,2
JUNE25-D15CAR-1_Weekday-MONRHS1-0100000,20250718,2
JUNE25-D15CAR-1_Weekday-MONRHS1-1011100,20250718,2
JUNE25-D15CAR-1_Weekday-POLYHS1,20250718,2
JUNE25-D15CAR-1_Weekday-SAFEHA0,20250718,2
JUNE25-D15CAR-1_Weekday-POLYHD0,20250718,2
JUNE25-D15CAR-1_Weekday-SAFEHS1-1011100,20250718,2
JUNE25-D15CAR-1_Weekday-SAFEHS1-0100000,20250718,2
JUNE25-D15CAR-1_Weekday-NOHOHB0,20250718,2
JUNE25-D15CAR-1_Weekday-POLYHT1,20250718,2
JUNE25-D15CAR-1_Weekday-NOHOHS1-1011100,20250718,2
JUNE25-D15CAR-1_Weekday-NOHOHS1-0100000,20250718,2
JUNE25-D15CAR-1_Weekday-CLEVHB0-0100000,20250718,2
JUNE25-D15CAR-1_Weekday-CLEVHC0,20250718,2
JUNE25-D15CAR-1_Weekday-CLEVHS1,20250718,2
JUNE25-D15CAR-1_Weekday-BIRMHS1,20250718,2
JUNE25-D15CAR-1_Weekday-MULHMS1-0100000,20250718,2
JUNE25-D15CAR-1_Weekday-MULHMS1-1011100,20250718,2
JUNE25-D15CAR-1_Weekday-MULHOA0,20250718,2
JUNE25-D18CAR-1_Weekday-WESTAM1,20250718,2
JUNE25-D18CAR-1_Weekday-WESTHS1,20250718,2
JUNE25-D18CAR-1_Weekday-WESTHB0,20250718,2
JUNE25-D18CAR-1_Weekday-WESTHC0,20250718,2
DSE-HG-1910,20250718,1
DSE-US-1910,20250718,1
DSE-HG-1810,20250719,1
DSE-US-1810,20250719,1
DSE-HG-1310,20250720,1
DSE-US-1310,20250720,1
JUNE25-D02CAR-1_Weekday-SANTHS1,20250721,2
JUNE25-D02CAR-1_Weekday-SANTHB0,20250721,2
JUNE25-D02CAR-1_Weekday-SANTHA0,20250721,2
JUNE25-D02CAR-1_Weekday-KINGMS1,20250721,2
JUNE25-D02CAR-1_Weekday-KINGMB0,20250721,2
JUNE25-D02CAR-1_Weekday-KINGMA0,20250721,2
JUNE25-D03CAR-1_Weekday-HOLEMS1-1011100,20250721,2
JUNE25-D03CAR-1_Weekday-HOLEMS1-0100000,20250721,2
JUNE25-D03CAR-1_Weekday-LINCHA0,20250721,2
JUNE25-D03CAR-1_Weekday-LINCHB0,20250721,2
JUNE25-D03CAR-1_Weekday-LINCHS1-1011100,20250721,2
JUNE25-D03CAR-1_Weekday-LINCHS1-0100000,20250721,2
JUNE25-D03CAR-1_Weekday-EAGLHS1-0100000,20250721,2
JUNE25-D03CAR-1_Weekday-EAGLHS1-1011100,20250721,2
JUNE25-D03CAR-1_Weekday-MUIRHS1,20250721,2
JUNE25-D03CAR-1_Weekday-NIGHMS1-0100000,20250721,2
JUNE25-D03CAR-1_Weekday-NIGHMS1-1011100,20250721,2
JUNE25-D03CAR-1_Weekday-ROOSEV1,20250721,2
JUNE25-D03CAR-1_Weekday-EAGLHA0,20250721,2
JUNE25-D03CAR-1_Weekday-MARSHA0,20250721,2
JUNE25-D03CAR-1_Weekday-MARSHS1-1011100,20250721,2
JUNE25-D03CAR-1_Weekday-MARSHS1-0100000,20250721,2
JUNE25-D03CAR-1_Weekday-MARSAM1,20250721,2
JUNE25-D07CAR-1_Weekday-FAIRHS1,20250721,2
JUNE25-D07CAR-1_Weekday-BURRMS1,20250721,2
JUNE25-D07CAR-1_Weekday-BURRMB0,20250721,2
JUNE25-D07CAR-1_Weekday-BURRMA0,20250721,2
JUNE25-D07CAR-1_Weekday-FAIRHC0,20250721,2
JUNE25-D07CAR-1_Weekday-LOANHD0,20250721,2
JUNE25-D07CAR-1_Weekday-FAIRHA0,20250721,2
JUNE25-D07CAR-1_Weekday-FAIRHB0,20250721,2
JUNE25-D07CAR-1_Weekday-HOLLHA0,20250721,2
JUNE25-D07CAR-1_Weekday-HOLLHB0,20250721,2
JUNE25-D07CAR-1_Weekday-PAULRE1,20250721,2
JUNE25-D07CAR-1_Weekday-PAULRE1-1010100,20250721,2
JUNE25-D07CAR-1_Weekday-PAULRE1-0101000,20250721,2
JUNE25-D07CAR-1_Weekday-PAULRA0,20250721,2
JUNE25-D07CAR-1_Weekday-PALIHS1,20250721,2
JUNE25-D07CAR-1_Weekday-HOLLHS1,20250721,2
JUNE25-D08CAR-1_Weekday-GRANHS1,20250721,2
JUNE25-D08CAR-1_Weekday-CHATHS1,20250721,2
JUNE25-D08CAR-1_Weekday-CHATHB0,20250721,2
JUNE25-D08CAR-1_Weekday-TAFTHA0,20250721,2
JUNE25-D08CAR-1_Weekday-KENNHS1,20250721,2
JUNE25-D08CAR-1_Weekday-ELCRHA0,20250721,2
JUNE25-D08CAR-1_Weekday-TAFTHB0,20250721,2
JUNE25-D08CAR-1_Weekday-KENNHA0,20250721,2
JUNE25-D08CAR-1_Weekday-KENNHB0,20250721,2
JUNE25-D08CAR-1_Weekday-TAFTHM1,20250721,2
JUNE25-D08CAR-1_Weekday-POLYHS1,20250721,2
JUNE25-D08CAR-1_Weekday-TAFTHS1,20250721,2
JUNE25-D08CAR-1_Weekday-POLYHD0,20250721,2
JUNE25-D08CAR-1_Weekday-POLYHT1,20250721,2
JUNE25-D08CAR-1_Weekday-WOHIAC1-1011100,20250721,2
JUNE25-D08CAR-1_Weekday-WOHIAC1-0100000,20250721,2
JUNE25-D08CAR-1_Weekday-WOHIAA0,20250721,2
JUNE25-D08CAR-1_Weekday-ELCRHS1,20250721,2
JUNE25-D08CAR-1_Weekday-CLEVHB0-0100000,20250721,2
JUNE25-D08CAR-1_Weekday-CLEVHC0,20250721,2
JUNE25-D08CAR-1_Weekday-CLEVHS1,20250721,2
JUNE25-D08CAR-1_Weekday-BIRMHS1,20250721,2
JUNE25-D08CAR-1_Weekday-MULHOA0,20250721,2
JUNE25-D09CAR-1_Weekday-WARRHS1,20250721,2
JUNE25-D09CAR-1_Weekday-WARRHA0,20250721,2
JUNE25-D13CAR-1_Weekday-LOANHS1,20250721,2
JUNE25-D13CAR-1_Weekday-LOANHB0,20250721,2
JUNE25-D13CAR-1_Weekday-LOANHA0,20250721,2
JUNE25-D15CAR-1_Weekday-MONRHS1-0100000,20250721,2
JUNE25-D15CAR-1_Weekday-MONRHS1-1011100,20250721,2
JUNE25-D15CAR-1_Weekday-POLYHS1,20250721,2
JUNE25-D15CAR-1_Weekday-SAFEHA0,20250721,2
JUNE25-D15CAR-1_Weekday-POLYHD0,20250721,2
JUNE25-D15CAR-1_Weekday-POLYHT1,20250721,2
JUNE25-D15CAR-1_Weekday-SAFEHS1-1011100,20250721,2
JUNE25-D15CAR-1_Weekday-SAFEHS1-0100000,20250721,2
JUNE25-D15CAR-1_Weekday-NOHOHB0,20250721,2
JUNE25-D15CAR-1_Weekday-NOHOHS1-1011100,20250721,2
JUNE25-D15CAR-1_Weekday-NOHOHS1-0100000,20250721,2
JUNE25-D15CAR-1_Weekday-CLEVHB0-0100000,20250721,2
JUNE25-D15CAR-1_Weekday-CLEVHC0,20250721,2
JUNE25-D15CAR-1_Weekday-CLEVHS1,20250721,2
JUNE25-D15CAR-1_Weekday-BIRMHS1,20250721,2
JUNE25-D15CAR-1_Weekday-MULHMS1-0100000,20250721,2
JUNE25-D15CAR-1_Weekday-MULHMS1-1011100,20250721,2
JUNE25-D15CAR-1_Weekday-MULHOA0,20250721,2
JUNE25-D18CAR-1_Weekday-WESTAM1,20250721,2
JUNE25-D18CAR-1_Weekday-WESTHS1,20250721,2
JUNE25-D18CAR-1_Weekday-WESTHB0,20250721,2
JUNE25-D18CAR-1_Weekday-WESTHC0,20250721,2
DSE-HG-1910,20250721,1
DSE-US-1910,20250721,1
JUNE25-D02CAR-1_Weekday-SANTHS1,20250722,2
JUNE25-D02CAR-1_Weekday-SANTHB0,20250722,2
JUNE25-D02CAR-1_Weekday-SANTHA0,20250722,2
JUNE25-D02CAR-1_Weekday-KINGMS1,20250722,2
JUNE25-D02CAR-1_Weekday-KINGMB0,20250722,2
JUNE25-D02CAR-1_Weekday-KINGMA0,20250722,2
JUNE25-D03CAR-1_Weekday-HOLEMS1-1011100,20250722,2
JUNE25-D03CAR-1_Weekday-HOLEMS1-0100000,20250722,2
JUNE25-D03CAR-1_Weekday-LINCHA0,20250722,2
JUNE25-D03CAR-1_Weekday-LINCHB0,20250722,2
JUNE25-D03CAR-1_Weekday-LINCHS1-1011100,20250722,2
JUNE25-D03CAR-1_Weekday-LINCHS1-0100000,20250722,2
JUNE25-D03CAR-1_Weekday-EAGLHS1-0100000,20250722,2
JUNE25-D03CAR-1_Weekday-EAGLHS1-1011100,20250722,2
JUNE25-D03CAR-1_Weekday-MUIRHS1,20250722,2
JUNE25-D03CAR-1_Weekday-NIGHMS1-0100000,20250722,2
JUNE25-D03CAR-1_Weekday-NIGHMS1-1011100,20250722,2
JUNE25-D03CAR-1_Weekday-ROOSEV1,20250722,2
JUNE25-D03CAR-1_Weekday-EAGLHA0,20250722,2
JUNE25-D03CAR-1_Weekday-MARSHA0,20250722,2
JUNE25-D03CAR-1_Weekday-MARSHS1-1011100,20250722,2
JUNE25-D03CAR-1_Weekday-MARSHS1-0100000,20250722,2
JUNE25-D03CAR-1_Weekday-MARSAM1,20250722,2
JUNE25-D07CAR-1_Weekday-FAIRHS1,20250722,2
JUNE25-D07CAR-1_Weekday-BURRMS1,20250722,2
JUNE25-D07CAR-1_Weekday-BURRMB0,20250722,2
JUNE25-D07CAR-1_Weekday-BURRMA0,20250722,2
JUNE25-D07CAR-1_Weekday-LOANHD0,20250722,2
JUNE25-D07CAR-1_Weekday-FAIRHA0,20250722,2
JUNE25-D07CAR-1_Weekday-FAIRHB0,20250722,2
JUNE25-D07CAR-1_Weekday-FAIRHC0,20250722,2
JUNE25-D07CAR-1_Weekday-HOLLHA0,20250722,2
JUNE25-D07CAR-1_Weekday-HOLLHB0,20250722,2
JUNE25-D07CAR-1_Weekday-PAULRE1,20250722,2
JUNE25-D07CAR-1_Weekday-PAULRE1-1010100,20250722,2
JUNE25-D07CAR-1_Weekday-PAULRE1-0101000,20250722,2
JUNE25-D07CAR-1_Weekday-PAULRA0,20250722,2
JUNE25-D07CAR-1_Weekday-PALIHS1,20250722,2
JUNE25-D07CAR-1_Weekday-HOLLHS1,20250722,2
JUNE25-D08CAR-1_Weekday-GRANHS1,20250722,2
JUNE25-D08CAR-1_Weekday-CHATHS1,20250722,2
JUNE25-D08CAR-1_Weekday-CHATHB0,20250722,2
JUNE25-D08CAR-1_Weekday-TAFTHA0,20250722,2
JUNE25-D08CAR-1_Weekday-KENNHS1,20250722,2
JUNE25-D08CAR-1_Weekday-ELCRHA0,20250722,2
JUNE25-D08CAR-1_Weekday-TAFTHB0,20250722,2
JUNE25-D08CAR-1_Weekday-KENNHA0,20250722,2
JUNE25-D08CAR-1_Weekday-KENNHB0,20250722,2
JUNE25-D08CAR-1_Weekday-TAFTHM1,20250722,2
JUNE25-D08CAR-1_Weekday-TAFTHS1,20250722,2
JUNE25-D08CAR-1_Weekday-POLYHS1,20250722,2
JUNE25-D08CAR-1_Weekday-POLYHD0,20250722,2
JUNE25-D08CAR-1_Weekday-POLYHT1,20250722,2
JUNE25-D08CAR-1_Weekday-WOHIAC1-1011100,20250722,2
JUNE25-D08CAR-1_Weekday-WOHIAC1-0100000,20250722,2
JUNE25-D08CAR-1_Weekday-WOHIAA0,20250722,2
JUNE25-D08CAR-1_Weekday-ELCRHS1,20250722,2
JUNE25-D08CAR-1_Weekday-CLEVHB0-0100000,20250722,2
JUNE25-D08CAR-1_Weekday-CLEVHC0,20250722,2
JUNE25-D08CAR-1_Weekday-CLEVHS1,20250722,2
JUNE25-D08CAR-1_Weekday-BIRMHS1,20250722,2
JUNE25-D08CAR-1_Weekday-MULHOA0,20250722,2
JUNE25-D09CAR-1_Weekday-WARRHS1,20250722,2
JUNE25-D09CAR-1_Weekday-WARRHA0,20250722,2
JUNE25-D13CAR-1_Weekday-LOANHS1,20250722,2
JUNE25-D13CAR-1_Weekday-LOANHB0,20250722,2
JUNE25-D15CAR-1_Weekday-MONRHS1-0100000,20250722,2
JUNE25-D15CAR-1_Weekday-MONRHS1-1011100,20250722,2
JUNE25-D15CAR-1_Weekday-SAFEHA0,20250722,2
JUNE25-D15CAR-1_Weekday-POLYHS1,20250722,2
JUNE25-D15CAR-1_Weekday-POLYHD0,20250722,2
JUNE25-D15CAR-1_Weekday-POLYHT1,20250722,2
JUNE25-D15CAR-1_Weekday-SAFEHS1-1011100,20250722,2
JUNE25-D15CAR-1_Weekday-SAFEHS1-0100000,20250722,2
JUNE25-D15CAR-1_Weekday-NOHOHB0,20250722,2
JUNE25-D15CAR-1_Weekday-NOHOHS1-1011100,20250722,2
JUNE25-D15CAR-1_Weekday-NOHOHS1-0100000,20250722,2
JUNE25-D15CAR-1_Weekday-CLEVHB0-0100000,20250722,2
JUNE25-D15CAR-1_Weekday-CLEVHC0,20250722,2
JUNE25-D15CAR-1_Weekday-CLEVHS1,20250722,2
JUNE25-D15CAR-1_Weekday-BIRMHS1,20250722,2
JUNE25-D15CAR-1_Weekday-MULHMS1-0100000,20250722,2
JUNE25-D15CAR-1_Weekday-MULHMS1-1011100,20250722,2
JUNE25-D15CAR-1_Weekday-MULHOA0,20250722,2
JUNE25-D18CAR-1_Weekday-WESTAM1,20250722,2
JUNE25-D18CAR-1_Weekday-WESTHS1,20250722,2
JUNE25-D18CAR-1_Weekday-WESTHB0,20250722,2
JUNE25-D18CAR-1_Weekday-WESTHC0,20250722,2
DSE-HG-1910,20250722,1
DSE-US-1910,20250722,1
JUNE25-D02CAR-1_Weekday-SANTHS1,20250723,2
JUNE25-D02CAR-1_Weekday-SANTHB0,20250723,2
JUNE25-D02CAR-1_Weekday-SANTHA0,20250723,2
JUNE25-D02CAR-1_Weekday-KINGMS1,20250723,2
JUNE25-D02CAR-1_Weekday-KINGMB0,20250723,2
JUNE25-D02CAR-1_Weekday-KINGMA0,20250723,2
JUNE25-D03CAR-1_Weekday-HOLEMS1-1011100,20250723,2
JUNE25-D03CAR-1_Weekday-HOLEMS1-0100000,20250723,2
JUNE25-D03CAR-1_Weekday-LINCHA0,20250723,2
JUNE25-D03CAR-1_Weekday-LINCHB0,20250723,2
JUNE25-D03CAR-1_Weekday-LINCHS1-1011100,20250723,2
JUNE25-D03CAR-1_Weekday-LINCHS1-0100000,20250723,2
JUNE25-D03CAR-1_Weekday-EAGLHS1-0100000,20250723,2
JUNE25-D03CAR-1_Weekday-EAGLHS1-1011100,20250723,2
JUNE25-D03CAR-1_Weekday-MUIRHS1,20250723,2
JUNE25-D03CAR-1_Weekday-NIGHMS1-0100000,20250723,2
JUNE25-D03CAR-1_Weekday-NIGHMS1-1011100,20250723,2
JUNE25-D03CAR-1_Weekday-ROOSEV1,20250723,2
JUNE25-D03CAR-1_Weekday-EAGLHA0,20250723,2
JUNE25-D03CAR-1_Weekday-MARSHA0,20250723,2
JUNE25-D03CAR-1_Weekday-MARSHS1-1011100,20250723,2
JUNE25-D03CAR-1_Weekday-MARSHS1-0100000,20250723,2
JUNE25-D03CAR-1_Weekday-MARSAM1,20250723,2
JUNE25-D07CAR-1_Weekday-FAIRHS1,20250723,2
JUNE25-D07CAR-1_Weekday-BURRMS1,20250723,2
JUNE25-D07CAR-1_Weekday-BURRMB0,20250723,2
JUNE25-D07CAR-1_Weekday-BURRMA0,20250723,2
JUNE25-D07CAR-1_Weekday-LOANHD0,20250723,2
JUNE25-D07CAR-1_Weekday-FAIRHC0,20250723,2
JUNE25-D07CAR-1_Weekday-FAIRHA0,20250723,2
JUNE25-D07CAR-1_Weekday-FAIRHB0,20250723,2
JUNE25-D07CAR-1_Weekday-HOLLHA0,20250723,2
JUNE25-D07CAR-1_Weekday-HOLLHB0,20250723,2
JUNE25-D07CAR-1_Weekday-PAULRE1,20250723,2
JUNE25-D07CAR-1_Weekday-PAULRE1-1010100,20250723,2
JUNE25-D07CAR-1_Weekday-PAULRE1-0101000,20250723,2
JUNE25-D07CAR-1_Weekday-PAULRA0,20250723,2
JUNE25-D07CAR-1_Weekday-PALIHS1,20250723,2
JUNE25-D07CAR-1_Weekday-HOLLHS1,20250723,2
JUNE25-D08CAR-1_Weekday-GRANHS1,20250723,2
JUNE25-D08CAR-1_Weekday-CHATHS1,20250723,2
JUNE25-D08CAR-1_Weekday-CHATHB0,20250723,2
JUNE25-D08CAR-1_Weekday-TAFTHA0,20250723,2
JUNE25-D08CAR-1_Weekday-KENNHS1,20250723,2
JUNE25-D08CAR-1_Weekday-ELCRHA0,20250723,2
JUNE25-D08CAR-1_Weekday-TAFTHB0,20250723,2
JUNE25-D08CAR-1_Weekday-KENNHA0,20250723,2
JUNE25-D08CAR-1_Weekday-KENNHB0,20250723,2
JUNE25-D08CAR-1_Weekday-TAFTHM1,20250723,2
JUNE25-D08CAR-1_Weekday-POLYHS1,20250723,2
JUNE25-D08CAR-1_Weekday-TAFTHS1,20250723,2
JUNE25-D08CAR-1_Weekday-POLYHD0,20250723,2
JUNE25-D08CAR-1_Weekday-POLYHT1,20250723,2
JUNE25-D08CAR-1_Weekday-WOHIAC1-1011100,20250723,2
JUNE25-D08CAR-1_Weekday-WOHIAC1-0100000,20250723,2
JUNE25-D08CAR-1_Weekday-WOHIAA0,20250723,2
JUNE25-D08CAR-1_Weekday-ELCRHS1,20250723,2
JUNE25-D08CAR-1_Weekday-CLEVHB0-0100000,20250723,2
JUNE25-D08CAR-1_Weekday-CLEVHC0,20250723,2
JUNE25-D08CAR-1_Weekday-CLEVHS1,20250723,2
JUNE25-D08CAR-1_Weekday-BIRMHS1,20250723,2
JUNE25-D08CAR-1_Weekday-MULHOA0,20250723,2
JUNE25-D09CAR-1_Weekday-WARRHS1,20250723,2
JUNE25-D09CAR-1_Weekday-WARRHA0,20250723,2
JUNE25-D13CAR-1_Weekday-LOANHS1,20250723,2
JUNE25-D13CAR-1_Weekday-LOANHB0,20250723,2
JUNE25-D13CAR-1_Weekday-LOANHA0,20250723,2
JUNE25-D15CAR-1_Weekday-MONRHS1-0100000,20250723,2
JUNE25-D15CAR-1_Weekday-MONRHS1-1011100,20250723,2
JUNE25-D15CAR-1_Weekday-POLYHS1,20250723,2
JUNE25-D15CAR-1_Weekday-SAFEHA0,20250723,2
JUNE25-D15CAR-1_Weekday-POLYHD0,20250723,2
JUNE25-D15CAR-1_Weekday-POLYHT1,20250723,2
JUNE25-D15CAR-1_Weekday-SAFEHS1-1011100,20250723,2
JUNE25-D15CAR-1_Weekday-SAFEHS1-0100000,20250723,2
JUNE25-D15CAR-1_Weekday-NOHOHB0,20250723,2
JUNE25-D15CAR-1_Weekday-NOHOHS1-1011100,20250723,2
JUNE25-D15CAR-1_Weekday-NOHOHS1-0100000,20250723,2
JUNE25-D15CAR-1_Weekday-CLEVHB0-0100000,20250723,2
JUNE25-D15CAR-1_Weekday-CLEVHC0,20250723,2
JUNE25-D15CAR-1_Weekday-CLEVHS1,20250723,2
JUNE25-D15CAR-1_Weekday-BIRMHS1,20250723,2
JUNE25-D15CAR-1_Weekday-MULHMS1-0100000,20250723,2
JUNE25-D15CAR-1_Weekday-MULHMS1-1011100,20250723,2
JUNE25-D15CAR-1_Weekday-MULHOA0,20250723,2
JUNE25-D18CAR-1_Weekday-WESTAM1,20250723,2
JUNE25-D18CAR-1_Weekday-WESTHS1,20250723,2
JUNE25-D18CAR-1_Weekday-WESTHB0,20250723,2
JUNE25-D18CAR-1_Weekday-WESTHC0,20250723,2
DSE-HG-1310,20250723,1
DSE-US-1310,20250723,1
JUNE25-D02CAR-1_Weekday-SANTHS1,20250724,2
JUNE25-D02CAR-1_Weekday-SANTHB0,20250724,2
JUNE25-D02CAR-1_Weekday-SANTHA0,20250724,2
JUNE25-D02CAR-1_Weekday-KINGMS1,20250724,2
JUNE25-D02CAR-1_Weekday-KINGMB0,20250724,2
JUNE25-D02CAR-1_Weekday-KINGMA0,20250724,2
JUNE25-D03CAR-1_Weekday-HOLEMS1-1011100,20250724,2
JUNE25-D03CAR-1_Weekday-HOLEMS1-0100000,20250724,2
JUNE25-D03CAR-1_Weekday-LINCHA0,20250724,2
JUNE25-D03CAR-1_Weekday-LINCHB0,20250724,2
JUNE25-D03CAR-1_Weekday-LINCHS1-1011100,20250724,2
JUNE25-D03CAR-1_Weekday-LINCHS1-0100000,20250724,2
JUNE25-D03CAR-1_Weekday-EAGLHS1-0100000,20250724,2
JUNE25-D03CAR-1_Weekday-EAGLHS1-1011100,20250724,2
JUNE25-D03CAR-1_Weekday-MUIRHS1,20250724,2
JUNE25-D03CAR-1_Weekday-NIGHMS1-0100000,20250724,2
JUNE25-D03CAR-1_Weekday-NIGHMS1-1011100,20250724,2
JUNE25-D03CAR-1_Weekday-ROOSEV1,20250724,2
JUNE25-D03CAR-1_Weekday-EAGLHA0,20250724,2
JUNE25-D03CAR-1_Weekday-MARSHA0,20250724,2
JUNE25-D03CAR-1_Weekday-MARSHS1-1011100,20250724,2
JUNE25-D03CAR-1_Weekday-MARSHS1-0100000,20250724,2
JUNE25-D03CAR-1_Weekday-MARSAM1,20250724,2
JUNE25-D07CAR-1_Weekday-FAIRHS1,20250724,2
JUNE25-D07CAR-1_Weekday-BURRMS1,20250724,2
JUNE25-D07CAR-1_Weekday-BURRMB0,20250724,2
JUNE25-D07CAR-1_Weekday-BURRMA0,20250724,2
JUNE25-D07CAR-1_Weekday-LOANHD0,20250724,2
JUNE25-D07CAR-1_Weekday-FAIRHC0,20250724,2
JUNE25-D07CAR-1_Weekday-FAIRHA0,20250724,2
JUNE25-D07CAR-1_Weekday-FAIRHB0,20250724,2
JUNE25-D07CAR-1_Weekday-HOLLHA0,20250724,2
JUNE25-D07CAR-1_Weekday-HOLLHB0,20250724,2
JUNE25-D07CAR-1_Weekday-PAULRE1,20250724,2
JUNE25-D07CAR-1_Weekday-PAULRE1-1010100,20250724,2
JUNE25-D07CAR-1_Weekday-PAULRE1-0101000,20250724,2
JUNE25-D07CAR-1_Weekday-PAULRA0,20250724,2
JUNE25-D07CAR-1_Weekday-PALIHS1,20250724,2
JUNE25-D07CAR-1_Weekday-HOLLHS1,20250724,2
JUNE25-D08CAR-1_Weekday-GRANHS1,20250724,2
JUNE25-D08CAR-1_Weekday-CHATHS1,20250724,2
JUNE25-D08CAR-1_Weekday-TAFTHA0,20250724,2
JUNE25-D08CAR-1_Weekday-KENNHS1,20250724,2
JUNE25-D08CAR-1_Weekday-ELCRHA0,20250724,2
JUNE25-D08CAR-1_Weekday-TAFTHB0,20250724,2
JUNE25-D08CAR-1_Weekday-KENNHA0,20250724,2
JUNE25-D08CAR-1_Weekday-TAFTHM1,20250724,2
JUNE25-D08CAR-1_Weekday-KENNHB0,20250724,2
JUNE25-D08CAR-1_Weekday-POLYHS1,20250724,2
JUNE25-D08CAR-1_Weekday-TAFTHS1,20250724,2
JUNE25-D08CAR-1_Weekday-POLYHD0,20250724,2
JUNE25-D08CAR-1_Weekday-POLYHT1,20250724,2
JUNE25-D08CAR-1_Weekday-CHATHB0,20250724,2
JUNE25-D08CAR-1_Weekday-WOHIAC1-1011100,20250724,2
JUNE25-D08CAR-1_Weekday-WOHIAC1-0100000,20250724,2
JUNE25-D08CAR-1_Weekday-WOHIAA0,20250724,2
JUNE25-D08CAR-1_Weekday-ELCRHS1,20250724,2
JUNE25-D08CAR-1_Weekday-CLEVHB0-0100000,20250724,2
JUNE25-D08CAR-1_Weekday-CLEVHC0,20250724,2
JUNE25-D08CAR-1_Weekday-CLEVHS1,20250724,2
JUNE25-D08CAR-1_Weekday-BIRMHS1,20250724,2
JUNE25-D08CAR-1_Weekday-MULHOA0,20250724,2
JUNE25-D09CAR-1_Weekday-WARRHS1,20250724,2
JUNE25-D09CAR-1_Weekday-WARRHA0,20250724,2
JUNE25-D13CAR-1_Weekday-LOANHS1,20250724,2
JUNE25-D13CAR-1_Weekday-LOANHB0,20250724,2
JUNE25-D13CAR-1_Weekday-LOANHA0,20250724,2
JUNE25-D15CAR-1_Weekday-MONRHS1-0100000,20250724,2
JUNE25-D15CAR-1_Weekday-MONRHS1-1011100,20250724,2
JUNE25-D15CAR-1_Weekday-POLYHS1,20250724,2
JUNE25-D15CAR-1_Weekday-SAFEHA0,20250724,2
JUNE25-D15CAR-1_Weekday-POLYHD0,20250724,2
JUNE25-D15CAR-1_Weekday-POLYHT1,20250724,2
JUNE25-D15CAR-1_Weekday-SAFEHS1-1011100,20250724,2
JUNE25-D15CAR-1_Weekday-SAFEHS1-0100000,20250724,2
JUNE25-D15CAR-1_Weekday-NOHOHB0,20250724,2
